"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"33","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12799,"Chad","Warner",185,0,NA,"Sydney",1,17,4,9,26,19,73,1,1,0,1,1,12,2,7,2,2,0,11,17,0,0,2,1,2,81,88,NA,1,1,8,588,7,2,0,0,0,0,0,9,13,3,9,0,0,1,0,18,19.8,0,2,2,1,NA,"C",2024-03-07
"34","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12820,"Sam","Wicks",181,0,NA,"Sydney",15,2,2,3,5,5,100,1,0,0,1,0,0,1,1,0,1,0,4,1,1,1,0,0,0,30,25,NA,0,1,3,47,0,1,0,0,0,2,1,1,2,1,3,0,0,0,1,9,8.8,0,0,1,0,NA,"SUB",2024-03-07
"35","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12847,"Joel","Amartey",195,0,NA,"Sydney",36,3,1,0,3,0,0,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,43,23,NA,0,0,1,78,2,0,1,0,0,0,0,2,0,0,0,0,50,0,0,5,-2.1,4,0,1,1,NA,"HFFR",2024-03-07
"36","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12853,"James","Jordon",187,0,NA,"Sydney",17,8,3,10,18,14,78,0,0,0,7,2,4,2,3,1,2,0,6,13,0,0,2,0,0,71,76,NA,0,2,3,158,3,2,2,0,0,0,0,7,5,0,3,0,0,1,0,19,7.7,0,0,0,1,NA,"RR",2024-03-07
"37","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12863,"Logan","McDonald",195,0,NA,"Sydney",6,5,3,3,8,4,50,1,0,0,1,0,2,0,3,0,1,0,4,4,2,1,2,0,0,83,37,NA,0,0,5,189,2,1,0,0,0,0,0,4,3,1,1,0,0,0,0,9,4.9,0,1,2,1,NA,"CHF",2024-03-07
"38","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12864,"Errol","Gulden",175,0,NA,"Sydney",21,16,2,4,20,11,55,0,1,0,2,2,5,2,4,1,1,0,9,14,0,0,2,0,0,89,69,NA,0,2,4,442,8,3,0,0,0,0,0,10,7,0,7,0,0,0,0,23,7.8,0,1,1,0,NA,"WR",2024-03-07
"39","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12865,"Braeden","Campbell",181,0,NA,"Sydney",16,12,7,4,16,12,75,0,0,0,2,2,5,1,2,1,0,0,3,15,0,0,1,0,0,68,74,NA,0,1,2,378,4,4,0,0,0,0,0,7,9,0,1,0,0,1,0,10,8.1,0,0,0,0,NA,"INT",2024-03-07
"40","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12933,"Jake","Bowey",175,0,NA,"Melbourne",17,13,3,1,14,11,79,0,0,0,1,6,0,0,1,0,0,0,1,9,0,0,1,0,0,48,54,NA,0,0,0,251,2,1,0,0,1,0,0,5,10,0,1,0,0,0,1,5,3.5,0,0,0,1,NA,"HBFR",2024-03-07
"41","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",12993,"Matt","Roberts",184,0,NA,"Sydney",34,16,8,3,19,18,95,0,0,0,3,3,1,0,1,1,0,0,1,13,0,0,1,0,0,84,91,NA,0,0,1,260,2,3,0,0,0,0,0,14,15,0,0,0,0,1,0,17,2.8,0,1,0,1,NA,"WL",2024-03-07
"42","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",13035,"Bailey","Laurie",179,0,NA,"Melbourne",16,3,1,5,8,5,63,0,0,0,1,1,3,0,1,0,0,0,2,6,0,0,0,0,0,42,26,NA,0,0,1,77,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,8,-0.1,0,0,0,0,NA,"FPR",2024-03-07
"43","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",13036,"Judd","McVee",185,0,NA,"Melbourne",4,14,6,6,20,16,80,0,0,0,0,9,1,3,2,1,0,0,8,11,0,0,2,0,1,78,73,NA,0,3,3,390,4,4,0,1,1,0,0,1,12,0,7,0,0,0,0,1,12.3,0,1,0,1,NA,"HBFL",2024-03-07
"44","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",13048,"Jacob","van Rooyen",193,0,NA,"Melbourne",2,3,2,7,10,9,90,1,0,0,3,0,1,0,2,1,1,0,2,7,0,0,1,0,0,83,45,NA,0,0,1,110,2,1,2,0,0,1,1,0,3,1,1,0,0,0,0,6,2.3,2,0,1,1,NA,"HFFR",2024-03-07
"45","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",13098,"Blake","Howes",191,0,NA,"Melbourne",22,9,7,8,17,14,82,0,0,0,3,5,1,0,3,1,1,0,9,9,0,0,4,0,0,74,74,NA,0,0,0,224,4,12,0,0,4,0,0,11,7,0,7,0,0,3,0,12,13.7,0,0,0,3,NA,"INT",2024-03-07
"46","SCG",16586,"Sydney","Melbourne","2024-03-07","19:30:00",0,"Opening Round",12,14,86,9,10,64,22,"Sydney",28,"RAIN",13099,"Caleb","Windsor",185,0,NA,"Melbourne",6,6,0,7,13,8,62,0,0,0,4,0,0,1,2,0,1,0,6,8,0,0,2,0,1,81,45,NA,1,0,4,117,1,3,0,0,0,0,0,12,4,0,6,0,0,0,0,20,7.3,0,2,0,1,NA,"WR",2024-03-07
"47","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",11901,"Ryan","Lester",192,0,FALSE,"Brisbane Lions",35,12,6,3,15,12,80,0,0,0,2,3,1,1,3,0,0,0,4,9,0,0,2,0,0,87,68,NA,0,1,2,255,2,6,0,0,2,0,0,2,10,0,4,0,0,2,0,4,8,0,2,0,2,NA,"BPR",2024-03-08
"48","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",12061,"Lachie","Neale",178,0,FALSE,"Brisbane Lions",9,9,2,16,25,19,76,0,0,0,2,0,5,5,1,2,0,0,13,12,0,0,0,0,1,79,75,NA,2,3,6,211,2,5,0,0,0,0,0,6,7,0,12,0,0,0,0,17,13.8,0,3,0,0,NA,"R",2024-03-08
"49","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",12073,"Jarryd","Lyons",184,0,FALSE,"Brisbane Lions",17,10,5,9,19,15,79,0,0,0,9,0,2,1,3,1,2,0,7,11,0,0,0,0,1,70,94,NA,1,0,6,258,2,2,0,0,0,1,0,12,10,0,6,0,0,0,1,23,7.1,0,1,0,0,NA,"INT",2024-03-08
"50","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",12082,"Dayne","Zorko",175,0,FALSE,"Brisbane Lions",15,12,7,7,19,16,84,2,0,0,6,1,3,0,3,1,1,0,5,13,0,1,0,0,1,76,105,NA,0,0,7,292,2,3,1,0,0,0,0,10,9,1,5,0,0,0,0,20,15.6,0,1,2,0,NA,"FPR",2024-03-08
"51","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",12094,"Lincoln","McCarthy",178,0,FALSE,"Brisbane Lions",11,10,6,3,13,7,54,2,3,0,2,1,2,1,3,1,2,0,4,9,1,3,1,0,0,81,72,NA,0,1,10,300,2,0,1,0,0,1,0,3,6,0,2,0,0,0,2,15,7.2,0,0,5,1,NA,"INT",2024-03-08
"52","Gabba",16587,"Brisbane Lions","Carlton","2024-03-08","18:40:00",0,"Opening Round",12,13,85,13,8,86,1,"Carlton",29,"RAIN",12175,"Sam","Docherty",187,0,FALSE,"Carlton",15,9,5,1,10,6,60,0,0,0,1,4,1,0,3,0,0,0,2,9,0,0,1,0,0,35,48,NA,0,0,2,314,5,1,0,0,0,0,0,4,6,1,1,0,0,0,0,7,-0.5,0,1,0,0,NA,"R",2024-03-08
